Country,Year,Share of GDP,Share of Gov Spending,Per Capita,Current USD Amount ($million),Sunni,Shi'ite,Jewish
Iran,1996,0.025,0.106,57.9,3551,0,1,0
Iraq,1996,,,,,1,0,0
Israel,1996,0.087,,1735.8,9523,0,0,1
Jordan,1996,0.060,0.165,93.9,417,1,0,0
Kuwait,1996,0.103,0.231,1979.0,3241,1,0,0
Lebanon,1996,0.057,0.132,239.5,736,1,0,0
Oman,1996,0.125,0.327,863.3,1916,1,0,0
Qatar,1996,,,,,1,0,0
Saudi Arabia,1996,0.085,0.253,690.1,13340,1,0,0
Syria,1996,0.060,0.218,67.5,995,1,0,0
Turkey,1996,0.041,,126.4,7512,1,0,0
UAE,1996,,,,,1,0,0
Yemen,1996,0.050,0.172,26.3,416,1,0,0
Bahrain,1997,0.051,0.136,538.3,322,0,1,0
Egypt,1997,0.030,,35.0,2268,1,0,0
Iran,1997,0.028,0.119,74.4,4642,0,1,0
Iraq,1997,,,,,1,0,0
Israel,1997,0.084,,1712.1,9639,0,0,1
Jordan,1997,0.061,0.177,97.7,444,1,0,0
Kuwait,1997,0.081,0.185,1455.5,2454,1,0,0
Lebanon,1997,0.043,0.108,219.3,678,1,0,0
Oman,1997,0.125,0.339,887.1,1976,1,0,0
Qatar,1997,,,,,1,0,0
Saudi Arabia,1997,0.110,0.307,915.0,18127,1,0,0
Syria,1997,0.059,0.203,69.1,1047,1,0,0
Turkey,1997,0.041,,129.0,7792,1,0,0
UAE,1997,0.068,0.192,1285.4,3336,1,0,0
Yemen,1997,0.055,0.170,24.3,397,1,0,0
Bahrain,1998,0.053,0.176,533.6,330,0,1,0
Egypt,1998,0.028,,36.0,2372,1,0,0
Iran,1998,0.029,0.129,86.1,5479,0,1,0
Iraq,1998,,,,,1,0,0
Israel,1998,0.079,,1579.2,9103,0,0,1
Jordan,1998,0.063,0.171,107.4,496,1,0,0
Kuwait,1998,0.088,0.169,1292.1,2282,1,0,0
Lebanon,1998,0.040,0.117,222.8,694,1,0,0
Oman,1998,0.126,0.303,790.0,1758,1,0,0
Qatar,1998,,,,,1,0,0
Saudi Arabia,1998,0.143,0.412,1027.6,20862,1,0,0
Syria,1998,0.058,0.201,70.4,1096,1,0,0
Turkey,1998,0.033,,143.1,8781,1,0,0
UAE,1998,0.086,0.206,1467.0,4010,1,0,0
Yemen,1998,0.057,0.177,22.8,385,1,0,0
Bahrain,1999,0.055,0.170,568.5,364,0,1,0
Egypt,1999,0.027,,36.5,2448,1,0,0
Iran,1999,0.027,0.126,102.7,6650,0,1,0
Iraq,1999,,,,,1,0,0
Israel,1999,0.073,,1460.9,8607,0,0,1
Jordan,1999,0.063,0.180,109.1,512,1,0,0
Kuwait,1999,0.076,0.169,1233.8,2286,1,0,0
Lebanon,1999,0.048,0.136,262.8,830,1,0,0
Oman,1999,0.115,0.293,803.1,1787,1,0,0
Qatar,1999,,,,,1,0,0
Saudi Arabia,1999,0.114,0.374,879.7,18320,1,0,0
Syria,1999,0.058,0.207,70.6,1128,1,0,0
Turkey,1999,0.040,,159.8,9952,1,0,0
UAE,1999,0.077,0.207,1467.7,4233,1,0,0
Yemen,1999,0.049,0.183,22.8,395,1,0,0
Bahrain,2000,0.040,0.172,538.4,359,0,1,0
Egypt,2000,0.027,,38.5,2628,1,0,0
Iran,2000,0.025,0.140,126.5,8327,0,1,0
Iraq,2000,,,,,1,0,0
Israel,2000,0.071,0.149,1557.5,9366,0,0,1
Jordan,2000,0.063,0.184,111.0,529,1,0,0
Kuwait,2000,0.072,0.196,1397.8,2697,1,0,0
Lebanon,2000,0.054,0.128,287.5,930,1,0,0
Oman,2000,0.108,0.303,939.1,2103,1,0,0
Qatar,2000,,,,,1,0,0
Saudi Arabia,2000,0.106,0.318,933.2,19964,1,0,0
Syria,2000,0.055,0.190,54.9,897,1,0,0
Turkey,2000,0.037,0.103,158.0,9994,1,0,0
UAE,2000,0.083,0.262,1926.4,5876,1,0,0
Yemen,2000,0.044,0.155,26.6,474,1,0,0
Bahrain,2001,0.041,0.146,535.8,372,0,1,0
Egypt,2001,0.031,,40.7,2834,1,0,0
Iran,2001,0.027,0.145,155.3,10379,0,1,0
Iraq,2001,,,,,1,0,0
Israel,2001,0.073,0.148,1554.6,9529,0,0,1
Jordan,2001,0.059,0.177,109.1,529,1,0,0
Kuwait,2001,0.077,0.179,1349.6,2686,1,0,0
Lebanon,2001,0.054,0.142,285.3,959,1,0,0
Oman,2001,0.125,0.328,1067.8,2427,1,0,0
Qatar,2001,,,,,1,0,0
Saudi Arabia,2001,0.115,0.309,955.4,21027,1,0,0
Syria,2001,0.055,0.189,61.2,1023,1,0,0
Turkey,2001,0.037,0.090,112.4,7216,1,0,0
UAE,2001,0.056,0.222,1801.8,5798,1,0,0
Yemen,2001,0.048,0.180,29.5,540,1,0,0
Bahrain,2002,0.046,0.145,612.3,444,0,1,0
Egypt,2002,0.034,0.094,40.9,2903,1,0,0
Iran,2002,0.024,0.109,47.9,3244,0,1,0
Iraq,2002,,,,,1,0,0
Israel,2002,0.083,0.163,1602.3,9999,0,0,1
Jordan,2002,0.054,0.162,105.7,522,1,0,0
